variant,observations,mean,median,std,minimum,maximum
all,115,-0.0014342641042327112,-0.0001873224165654,0.04057855367674394,-0.1966722075715322,0.2124022359061474
filtered_iqr,106,-3.8565365015831675e-05,-0.0001002859830564804,0.009443065277619957,-0.0218599479107206,0.0257079558955734
winsorized_5_95,115,-0.00025094101500171896,-0.0001873224165654,0.010623085304359391,-0.02059038092486168,0.020796503334505653
