date,open,high,low,close,volume,return_t,abs_return_t,intraday_range_t,log_volume_change_t,rolling_volatility_5_t,stress_interaction_t,weekday_Friday,weekday_Monday,weekday_Thursday,weekday_Tuesday,weekday_Wednesday,next_day_abs_return
2016-08-23,219.25,219.6,218.9,218.97,53289030,,,0.003192702394526744,,,,0,0,0,1,0,0.005114855916335537
2016-08-24,218.8,218.91,217.36,217.85,71553010,-0.005114855916335537,0.005114855916335537,0.0070840950639852966,0.2947080749575832,,3.623412554990857e-05,0,0,0,0,1,0.0006885471654808351
2016-08-25,217.4,218.19,217.22,217.7,69128600,-0.0006885471654808351,0.0006885471654808351,0.004461821527138909,-0.03447003505863577,,3.0721745653928665e-06,0,0,1,0,0,0.001883325677537906
2016-08-26,217.92,219.12,216.25,217.29,122386400,-0.001883325677537906,0.001883325677537906,0.013169970631424397,0.5712147084464583,,2.4803343862581675e-05,1,0,0,0,0,0.00492797643701981
2016-08-29,217.44,218.665,217.4,218.3608,70431280,0.00492797643701981,0.00492797643701981,0.005817696835908694,-0.552545764100703,,2.8669472925082745e-05,0,1,0,0,0,0.0016523112206953128
2016-08-30,218.26,218.59,217.35,218.0,57588550,-0.0016523112206953128,0.0016523112206953128,0.005681297535049983,-0.20131371628007244,0.057950842575152484,9.387271665271708e-06,0,0,0,1,0,0.0028440366972477538
2016-08-31,217.61,217.75,216.465,217.38,84916020,-0.0028440366972477538,0.0028440366972477538,0.00590505951013279,0.3883389992890578,0.04906257523743505,1.6794205946249497e-05,0,0,0,0,1,4.600239212426693e-05
2016-09-01,217.37,217.73,216.03,217.39,97720490,4.600239212426693e-05,4.600239212426693e-05,0.007820766435110588,0.14044849106394253,0.04909399458106922,3.597739642602625e-07,0,0,1,0,0,0.004508027048162333
2016-09-02,218.39,218.87,217.7,218.37,79119470,0.004508027048162333,0.004508027048162333,0.005357388158798553,-0.21115226969128997,0.056380598095572124,2.4151250727368476e-05,1,0,0,0,0,0.003026056692769119
2016-09-06,218.7,219.12,217.86,219.0308,56528000,0.003026056692769119,0.003026056692769119,0.005761316872427942,-0.33622289293845853,0.04918423139111146,1.7434071480974222e-05,0,0,0,1,0,9.49638133085351e-05
2016-09-07,218.84,219.22,218.3,219.01,76302150,-9.49638133085351e-05,9.49638133085351e-05,0.004203984646316886,0.29996502093584,0.04578293860175466,3.992264131047847e-07,0,0,0,0,1,0.0022830007762202342
2016-09-08,218.62,218.94,218.15,218.51,73855230,-0.0022830007762202342,0.0022830007762202342,0.0036135760680632697,-0.03259429000498315,0.042956708785899966,8.249796968319306e-06,0,0,1,0,0,0.023934831357832587
2016-09-09,216.97,217.03,213.25,213.28,220309300,-0.023934831357832587,0.023934831357832587,0.017421763377425455,1.0929256333794868,0.18394037281364267,0.00041698696839474216,1,0,0,0,0,0.014347336834208635
2016-09-12,212.39,216.81,212.31,216.34,167653400,0.014347336834208635,0.014347336834208635,0.02118743820330524,-0.2731337136002381,0.2212654959541582,0.0003039833125568005,0,1,0,0,0,0.014375520014791587
2016-09-13,214.84,215.1499,212.5,213.23,182323200,-0.014375520014791587,0.014375520014791587,0.012334295289517792,0.08388218280862603,0.23165762887498076,0.0001773119088028126,0,0,0,1,0,0.00037518172864969834
2016-09-14,213.29,214.7,212.5,213.15,133064600,-0.00037518172864969834,0.00037518172864969834,0.010314595152140225,-0.3149462097242548,0.23127161706588,3.869847639501768e-06,0,0,0,0,1,0.009992962702322306
2016-09-15,212.96,215.73,212.75,215.28,144092600,0.009992962702322306,0.009992962702322306,0.013993238166791837,0.07962142329829902,0.2564876321976762,0.00013983390708546378,0,0,1,0,0,0.008872166480862087
2016-09-16,213.48,213.69,212.57,213.37,155109000,-0.008872166480862087,0.008872166480862087,0.0052463931047405125,0.07367194662545984,0.19297717226508598,4.654687304930475e-05,1,0,0,0,0,0.00018746777897549194
2016-09-19,214.13,214.88,213.03,213.41,80099180,0.00018746777897549194,0.00018746777897549194,0.008639611450987692,-0.6608624727224317,0.14833670034401927,1.6196487699278898e-06,0,1,0,0,0,4.6858160348550726e-05
2016-09-20,214.41,214.59,213.38,213.42,69217930,4.6858160348550726e-05,4.6858160348550726e-05,0.00564339349843761,-0.14600568174760653,0.10606282679921371,2.6443903745975816e-07,0,0,0,1,0,0.011245431543435602
2016-09-21,214.24,216.03,213.44,215.82,110068700,0.011245431543435602,0.011245431543435602,0.012089245705750576,0.4638447778295145,0.13122105793465694,0.00013594878499579094,0,0,0,0,1,0.0063015475859513614
2016-09-22,217.0,217.53,216.71,217.18,76535390,0.0063015475859513614,0.0063015475859513614,0.003778801843317941,-0.3633514640804627,0.12012486714442314,2.3812299633548728e-05,0,0,1,0,0,0.005479325904779397
2016-09-23,216.72,216.88,215.88,215.99,73464500,-0.005479325904779397,0.005479325904779397,0.004614248800295312,-0.040950951349643105,0.10225261038982528,2.528297298255536e-05,1,0,0,0,0,0.008102226954951663
2016-09-26,215.02,215.23,214.01,214.24,89700700,-0.008102226954951663,0.008102226954951663,0.005673890800855729,0.1996762740181559,0.12764447786971908,4.597115098614557e-05,0,1,0,0,0,0.006207991038088112
2016-09-27,214.05,215.68,213.62,215.57,77854200,0.006207991038088112,0.006207991038088112,0.009623919644942781,-0.14164072439995223,0.13273922219073342,5.9745206907084915e-05,0,0,0,1,0,0.004963584914412955
2016-09-28,215.83,216.82,214.71,216.64,87095790,0.004963584914412955,0.004963584914412955,0.009776212760042558,0.11217069935209523,0.11098712422955254,4.8525062175838676e-05,0,0,0,0,1,0.009047267355982158
2016-09-29,216.4,216.87,214.04,214.68,127225400,-0.009047267355982158,0.009047267355982158,0.013077634011090631,0.37895176544113696,0.11623261632275116,0.00011831685128202229,0,0,1,0,0,0.00754611514812753
2016-09-30,215.65,217.12,215.36,216.3,115113500,0.00754611514812753,0.00754611514812753,0.008161372594481757,-0.1000417175154773,0.12972675164081043,6.158665736473168e-05,1,0,0,0,0,0.00240406842348595
2016-10-03,215.82,216.04,215.04,215.78,83386110,-0.00240406842348595,0.00240406842348595,0.004633490872022982,-0.32243684612663515,0.11145916621697217,1.113922909594083e-05,0,1,0,0,0,0.005097784780795256
2016-10-04,215.91,216.17,213.99,214.68,119749100,-0.005097784780795256,0.005097784780795256,0.010096799592422668,0.36191696823188835,0.10996395656085634,5.147131129699202e-05,0,0,0,1,0,0.004425190981926619
2016-10-05,215.41,216.13,215.33,215.63,72685460,0.004425190981926619,0.004425190981926619,0.00371384801077008,-0.4992573506612388,0.10823658475684558,1.6434486725505873e-05,0,0,0,0,1,0.0006956360432222031
2016-10-06,215.37,216.04,214.735,215.78,62519840,0.0006956360432222031,0.0006956360432222031,0.00605933974091089,-0.1506574159308549,0.08072675193197014,4.215095121906301e-06,0,0,1,0,0,0.0034294188525350044
