column,count,mean,std,min,25%,50%,75%,max,missing_count,missing_fraction,skew,kurtosis,unique_count
open,2512.0,408.65020163216565,144.83967290545482,208.91,281.5575,393.235,497.8975,778.54,0,0.0,0.6741603222121724,-0.5163575446348689,2432
high,2512.0,410.8485249203822,145.45257827849986,209.89,283.4975,396.33500000000004,501.78749999999997,779.37,0,0.0,0.6689216102581049,-0.5223044369861127,2431
low,2512.0,406.24961958598726,144.13538749162936,208.38,280.152875,390.53999999999996,494.6775,775.4301,0,0.0,0.6788630214076974,-0.5108155747763647,2438
close,2512.0,408.7169589171975,144.8659352896377,208.55,281.5975,393.78499999999997,498.805,777.88,0,0.0,0.6734549390631351,-0.5180114759672532,2436
volume,2512.0,79365604.91600318,38459525.01942803,9999999.0,56179930.0,71061160.0,91523567.5,392220700.0,0,0.0,2.698828366796736,12.193781692514204,2511
daily_return,2511.0,0.0005633706514960473,0.01136010234040928,-0.10942373384821036,-0.003704869763831997,0.0006956360432222031,0.005983370752047246,0.10501933612632941,1,0.0003980891719745223,-0.31054442682291294,14.663325186796413,2507
abs_return,2511.0,0.007377005875583033,0.008656069608957753,0.0,0.0020558417828592246,0.005037709599472695,0.00970115425069118,0.10942373384821036,1,0.0003980891719745223,4.091737414992972,30.398391861288268,2507
intraday_range,2512.0,0.011372272156040556,0.00896151096286725,0.001229256299938511,0.0059391594278173174,0.00885232480407628,0.01369107352656372,0.11261754215304798,0,0.0,3.387082844441931,20.206949335819065,2512
close_to_open_return,2512.0,0.00019015004131273406,0.008562505782725618,-0.05661155320991218,-0.0033435065573120537,0.0005359381472017644,0.004268176619171449,0.11182717250324248,0,0.0,0.5527743993703083,15.413815437830426,2505
log_volume,2512.0,18.102226944008407,0.4020196368033689,16.11809565095832,17.844070149581245,18.07905147995735,18.33210707630362,19.78733525207762,0,0.0,0.4932070011733441,1.0975858021333216,2511
rolling_vol_21,2491.0,0.15048097087584425,0.10200061868995379,0.03479654478909505,0.09206090772523831,0.1257527801519487,0.181807791645149,0.9328783492007011,21,0.008359872611464968,3.6845627606684226,20.44641166578672,2491
