date,sessions,ending_close,monthly_return,realized_vol_annualized,average_volume,average_intraday_range
2016-08-31,7,217.38,-0.007261268666940657,0.053369352304082934,75613270.0,0.0064732347854524015
2016-09-30,21,216.3,-0.00496825834943404,0.14470319108921326,109164415.71428572,0.008968242218325756
2016-10-31,21,212.55,-0.01733703190013891,0.06734703248443773,81961540.95238096,0.006792935115901866
2016-11-30,21,220.38,0.036838390966831724,0.1053369588764794,98347837.14285715,0.007884589978617367
2016-12-31,21,223.53,0.014293493057446316,0.08516941384860197,86276900.95238096,0.006169248151390054
2017-01-31,20,227.53,0.017894689750816317,0.06626846680726092,73778329.0,0.005723802393692624
2017-02-28,19,236.47,0.039291521997098844,0.04571082218966027,71433152.63157895,0.005141580806484006
2017-03-31,23,235.74,-0.0030870723559013324,0.0859603154915008,83176304.7826087,0.006429740351486783
2017-04-30,19,238.08,0.009926189870195667,0.07547180069569695,81246664.21052632,0.0068729713755917255
2017-05-31,22,241.44,0.014112903225806273,0.07677590317109183,67588051.81818181,0.004705464053360298
2017-06-30,22,241.8,0.0014910536779322303,0.07623481389167773,71186159.0909091,0.00588938895689044
2017-07-31,20,246.77,0.02055417700579021,0.05580769885913482,52931446.0,0.0045944343307166785
2017-08-31,23,247.49,0.002917696640596601,0.09350244550379133,67344314.3478261,0.005948857180422989
2017-09-30,20,251.23,0.015111721685724833,0.05641701200259393,64012076.0,0.004007736969300175
2017-10-31,22,257.15,0.02356406480117834,0.050157623674734794,59749735.45454545,0.004088575908862525
2017-11-30,21,265.01,0.030565817616177826,0.06473689838155879,64738901.9047619,0.0049841549777176536
2017-12-31,20,266.86,0.00698086864646652,0.048141794048642855,85106841.0,0.005374760208599774
2018-01-31,21,281.9,0.05635913962377259,0.08660918818842823,94785073.8095238,0.007280423082168517
2018-02-28,19,271.65,-0.03636041149343716,0.27730743656609996,152892458.42105263,0.02063629772079877
2018-03-31,21,263.15,-0.03129026320633177,0.20139875106194113,110469400.47619048,0.015463314694753356
2018-04-30,21,264.51,0.005168155044650513,0.17092612120040718,94772711.90476191,0.01403736080451716
2018-05-31,22,270.94,0.02430909984499552,0.10375063896132916,72869466.81818181,0.009092623458574546
2018-06-30,21,271.28,0.0012548903816345103,0.08759758414728408,76015428.57142857,0.0073876959417167164
2018-07-31,21,281.33,0.037046593925095905,0.08422255187912442,60110206.666666664,0.0067456955328028135
