scenario,accuracy,precision,recall,f1,pr_auc,alert_rate,true_negative,false_positive,false_negative,true_positive
validation_f1_cutoff,0.8582834331337326,0.24285714285714285,0.4857142857142857,0.3238095238095238,0.29281211176015853,0.13972055888223553,413,53,18,17
conservative_0.70,0.908183632734531,0.3103448275862069,0.2571428571428571,0.28125,0.29281211176015853,0.05788423153692615,446,20,26,9
