column,count,mean,std,min,25%,50%,75%,max,missing_count,missing_fraction,skew,kurtosis,unique_count
open,2512.0,410.8343138933121,146.08200224238828,208.91,282.4125,394.40999999999997,502.4875,778.54,0,0.0,0.6797898848131757,-0.5092667540997748,2432
high,2512.0,413.0405850318472,146.6843237441442,209.89,284.09625,397.14,506.58875,779.37,0,0.0,0.6744865799097216,-0.5156474087208562,2432
low,2512.0,408.4289060907644,145.39500612116083,208.38,280.65715,391.69,499.5371,775.4301,0,0.0,0.6848510989197842,-0.5024399809784583,2438
close,2512.0,410.90363025477706,146.11209984064882,208.55,282.46000000000004,394.92999999999995,503.5,777.88,0,0.0,0.6792343684978692,-0.5104502873083017,2436
volume,2512.0,79200132.9375,38542288.63005576,9999999.0,55898815.0,70869760.0,91472902.5,392220700.0,0,0.0,2.6876209312069483,12.116722900422834,2511
daily_return,2511.0,0.0005656501869060466,0.011363013162497063,-0.10942373384821036,-0.0037063639764176592,0.0006988516168024983,0.0059913777753283215,0.10501933612632941,1,0.0003980891719745223,-0.3107052691787899,14.645793122294371,2507
abs_return,2511.0,0.007384577431954325,0.008653579952867868,0.0,0.002057863871699206,0.005052295692253184,0.009707780531337917,0.10942373384821036,1,0.0003980891719745223,4.093180430317438,30.42207387159305,2507
intraday_range,2512.0,0.011370618458288654,0.008961649805263833,0.001229256299938511,0.005946042865727118,0.00885232480407628,0.01369107352656372,0.11261754215304798,0,0.0,3.3874449577582997,20.208031833120902,2512
close_to_open_return,2512.0,0.000194533001084472,0.008563322352396858,-0.05661155320991218,-0.0033387785889695265,0.0005453689721973687,0.004279440980548999,0.11182717250324248,0,0.0,0.55131527402689,15.405778337000353,2505
log_volume,2512.0,18.099174564791525,0.4045979002347689,16.11809565095832,17.83905356921889,18.076354396143717,18.331553349776435,19.78733525207762,0,0.0,0.4774215097034447,1.0649830550568242,2511
rolling_volatility_21,2491.0,0.150334685714069,0.10204887824792004,0.03479654478909509,0.09188374321757273,0.1251030298939546,0.181807791645149,0.9328783492007011,21,0.008359872611464968,3.6830463537845866,20.423611454764497,2491
