variant,observations,mean,median,std,minimum,maximum
all,2511,0.0005656501869060466,0.0006988516168024983,0.011363013162497063,-0.10942373384821036,0.10501933612632941
filtered_iqr,2346,0.001042503527856831,0.000847722749587887,0.007343581687890327,-0.018157958984375,0.019981377557440227
winsorized_0.05_0.95,2511,0.0006421834460088299,0.0006988516168024983,0.008168676066084344,-0.01679248299427466,0.015604552841447239
