regime,rows,accuracy,precision,recall,f1,pr_auc,alert_rate,true_negative,false_positive,false_negative,true_positive
lower_volatility,251,0.9402390438247012,0.0,0.0,0.0,0.041490470121822554,0.02390438247011952,236,6,9,0
higher_volatility,250,0.776,0.265625,0.6538461538461539,0.37777777777777777,0.3768442064485354,0.256,177,47,9,17
