scenario,accuracy,precision,recall,f1,pr_auc,alert_rate,true_negative,false_positive,false_negative,true_positive
validation_f1_cutoff,0.8562874251497006,0.25,0.5,0.3333333333333333,0.2892991887266384,0.1437125748502994,411,54,18,18
conservative_0.70,0.9021956087824351,0.2903225806451613,0.25,0.26865671641791045,0.2892991887266384,0.06187624750499002,443,22,27,9
